X,Y,Z,A,B,C,D,E
55001,"Adams, WI",8,4.80%,7.40%,7.40%,10.00%,12.40%
55003,"Ashland, WI",7,7.50%,12.20%,12.80%,16.50%,21.10%
55005,"Barron, WI",6,6.50%,10.40%,11.70%,14.90%,19.90%
55007,"Bayfield, WI",8,4.70%,13.60%,18.30%,21.60%,30.50%
55009,"Brown, WI",2,9.60%,14.50%,17.70%,22.50%,29.60%
55011,"Buffalo, WI",8,6.10%,8.90%,10.80%,14.00%,17.90%
55013,"Burnett, WI",8,4.90%,7.80%,8.90%,14.00%,20.00%
55015,"Calumet, WI",3,6.10%,10.60%,12.90%,20.80%,28.70%
55017,"Chippewa, WI",3,6.00%,9.30%,10.80%,14.70%,20.10%
55019,"Clark, WI",6,4.70%,7.40%,8.60%,10.30%,11.50%
55021,"Columbia, WI",2,7.10%,11.10%,12.90%,16.70%,23.20%
55023,"Crawford, WI",7,6.10%,10.00%,10.80%,13.20%,17.80%
55025,"Dane, WI",2,23.10%,30.90%,34.20%,40.60%,50.70%
55027,"Dodge, WI",4,6.00%,9.20%,10.20%,13.20%,16.50%
55029,"Door, WI",6,6.20%,13.10%,16.40%,21.40%,32.10%
55031,"Douglas, WI",2,8.40%,11.80%,14.80%,18.30%,24.00%
55033,"Dunn, WI",6,9.40%,16.30%,19.40%,21.10%,28.00%
55035,"Eau Claire, WI",3,11.20%,17.90%,20.90%,27.00%,31.80%
55037,"Florence, WI",9,5.70%,8.30%,8.90%,12.40%,18.30%
55039,"Fond du Lac, WI",3,8.40%,11.30%,13.30%,16.90%,22.70%
55041,"Forest, WI",9,3.50%,8.00%,7.60%,10.00%,15.60%
55043,"Grant, WI",6,8.90%,13.80%,14.70%,17.20%,23.00%
55045,"Green, WI",2,6.80%,10.90%,12.00%,16.70%,23.00%
55047,"Green Lake, WI",6,6.40%,10.40%,11.40%,14.50%,19.30%
55049,"Iowa, WI",2,6.20%,11.40%,13.30%,18.50%,24.30%
55051,"Iron, WI",9,4.90%,8.50%,10.50%,13.20%,20.00%
55053,"Jackson, WI",6,4.60%,8.00%,8.80%,11.30%,14.40%
55055,"Jefferson, WI",4,8.20%,12.60%,15.10%,17.40%,24.80%
55057,"Juneau, WI",7,4.40%,7.70%,8.60%,10.00%,13.60%
55059,"Kenosha, WI",1,6.80%,10.70%,12.70%,19.20%,25.70%
55061,"Kewaunee, WI",2,3.60%,7.70%,8.20%,11.40%,19.10%
55063,"La Crosse, WI",3,11.20%,17.30%,21.10%,25.40%,34.30%
55065,"Lafayette, WI",8,6.10%,9.30%,10.10%,13.30%,18.90%
55067,"Langlade, WI",6,5.60%,8.50%,8.80%,11.70%,16.50%
55069,"Lincoln, WI",6,5.60%,9.80%,10.80%,13.60%,18.30%
55071,"Manitowoc, WI",4,6.60%,9.90%,12.10%,15.50%,19.90%
55073,"Marathon, WI",3,7.30%,11.60%,13.50%,18.30%,25.60%
55075,"Marinette, WI",6,5.40%,8.60%,10.10%,12.90%,15.00%
55077,"Marquette, WI",8,4.90%,8.00%,8.80%,10.10%,14.20%
55078,"Menominee, WI",8,2.50%,1.60%,3.70%,12.90%,17.20%
55079,"Milwaukee, WI",1,10.30%,15.70%,19.30%,23.60%,30.50%
55081,"Monroe, WI",6,5.90%,8.90%,10.80%,13.20%,19.90%
55083,"Oconto, WI",2,4.20%,7.40%,8.50%,10.60%,16.00%
55085,"Oneida, WI",7,7.30%,13.20%,14.90%,20.00%,27.10%
55087,"Outagamie, WI",3,9.30%,13.30%,16.70%,22.50%,28.90%
55089,"Ozaukee, WI",1,15.50%,23.80%,29.70%,38.60%,48.40%
55091,"Pepin, WI",8,5.20%,8.60%,9.60%,13.30%,19.20%
55093,"Pierce, WI",1,8.90%,16.20%,17.80%,24.60%,28.20%
55095,"Polk, WI",6,5.50%,10.60%,11.40%,15.60%,20.40%
55097,"Portage, WI",4,11.20%,17.50%,19.10%,23.40%,32.00%
55099,"Price, WI",9,5.00%,8.30%,10.60%,13.00%,16.90%
55101,"Racine, WI",3,8.80%,14.00%,16.50%,20.30%,24.70%
55103,"Richland, WI",6,5.70%,10.40%,10.80%,14.10%,18.90%
55105,"Rock, WI",3,9.30%,12.40%,13.30%,16.70%,21.80%
55107,"Rusk, WI",6,6.10%,9.40%,10.90%,11.20%,15.80%
55109,"St. Croix, WI",1,9.90%,15.10%,20.30%,26.30%,33.70%
55111,"Sauk, WI",4,7.20%,11.20%,12.90%,17.60%,23.80%
55113,"Sawyer, WI",7,6.20%,11.70%,12.90%,16.50%,23.20%
55115,"Shawano, WI",6,4.70%,7.70%,9.40%,12.60%,16.10%
55117,"Sheboygan, WI",3,6.90%,11.20%,13.80%,17.90%,23.90%
55119,"Taylor, WI",6,4.90%,7.90%,9.20%,11.00%,14.70%
55121,"Trempealeau, WI",6,5.10%,9.50%,10.10%,13.30%,19.40%
55123,"Vernon, WI",6,5.40%,10.00%,11.20%,14.00%,21.80%
55125,"Vilas, WI",9,7.90%,11.70%,13.70%,17.60%,27.10%
55127,"Walworth, WI",4,11.50%,15.30%,17.50%,21.80%,28.30%
55129,"Washburn, WI",7,6.50%,10.40%,12.80%,15.20%,22.30%
55131,"Washington, WI",1,7.90%,13.80%,15.90%,21.90%,30.70%
55133,"Waukesha, WI",1,15.40%,21.50%,27.10%,34.10%,43.80%
55135,"Waupaca, WI",6,5.90%,9.30%,11.00%,14.80%,19.10%
55137,"Waushara, WI",6,5.10%,8.70%,10.00%,11.70%,15.70%
55139,"Winnebago, WI",3,10.30%,15.30%,18.20%,22.80%,27.30%
55141,"Wood, WI",4,8.10%,11.40%,13.50%,16.90%,21.60%
